frame_num,x1,y1,x2,y2,track,hour,camera
100,1369,207,1433,508,1,11,15
101,1344,197,1409,501,1,11,15
102,1307,197,1373,496,1,11,15
103,1277,185,1344,482,1,11,15
104,1244,184,1312,474,1,11,15
105,1227,182,1294,464,1,11,15
106,1215,173,1283,448,1,11,15
107,1205,174,1272,438,1,11,15
108,1195,171,1259,417,1,11,15
109,1188,170,1251,408,1,11,15
110,1185,167,1248,398,1,11,15
111,1182,159,1245,389,1,11,15
112,1181,162,1243,385,1,11,15
113,1174,152,1238,380,1,11,15
114,1173,149,1235,369,1,11,15
115,1173,147,1236,371,1,11,15
116,1174,142,1236,359,1,11,15
117,1173,142,1233,349,1,11,15
118,1172,142,1230,340,1,11,15
119,1172,141,1229,333,1,11,15
120,1175,139,1231,327,1,11,15
121,1177,137,1232,319,1,11,15
122,1178,138,1233,317,1,11,15
123,1178,136,1233,314,1,11,15
124,1181,135,1234,306,1,11,15
125,1183,134,1236,301,1,11,15
126,1188,132,1240,294,1,11,15
127,1189,130,1241,292,1,11,15
128,1190,127,1242,291,1,11,15
129,1190,127,1240,284,1,11,15
130,1189,127,1239,282,1,11,15
131,1190,124,1239,276,1,11,15
132,1187,124,1235,275,1,11,15
133,1185,122,1232,267,1,11,15
134,1181,121,1227,262,1,11,15
135,1178,120,1223,258,1,11,15
136,1172,118,1218,260,1,11,15
137,1170,116,1216,256,1,11,15
234,166,728,393,1069,2,11,15
235,243,708,477,1060,2,11,15
236,397,665,647,1071,3,11,15
237,503,628,846,1072,4,11,15
238,565,591,935,1070,4,11,15
239,598,549,996,1068,4,11,15
240,644,513,1064,1070,4,11,15
241,725,489,1159,1072,4,11,15
242,772,456,1223,1076,4,11,15
243,852,433,1303,1070,4,11,15
244,912,416,1353,1057,4,11,15
245,978,399,1382,1005,4,11,15
246,1044,385,1412,958,4,11,15
247,1090,380,1437,930,4,11,15
248,1164,374,1482,896,4,11,15
249,1218,368,1519,885,4,11,15
250,1270,351,1570,869,4,11,15
250,1355,456,1414,718,5,11,15
416,1440,922,1589,1079,6,11,15
417,1371,941,1502,1078,6,11,15
418,1159,961,1397,1076,7,11,15
419,986,967,1218,1073,8,11,15
420,791,977,1042,1075,9,11,15
500,0,870,179,1072,10,11,15
501,107,807,328,1073,11,11,15
