,Unnamed: 0,difference,transition_time,match_num,entrance_index,departure_index,camera,departure,entrance,frame_num,h,hour,index,max_track_len,next_cam,next_cam_framenum,track,track_length,w,x1,x2,y1,y2
0,5,0.0008789398748155859,2,6,31306,1396,10,1,0,315,450,11,1396,27,9,317,8,27,174,759,933,630,1080
1,9,0.0012602367853107967,46,10,19329,1802,10,1,0,3567,299,11,1802,24,6,3613,44,24,99,0,99,337,636
2,10,0.001411893665112595,27,11,9856,3371,10,1,0,4573,117,11,3371,83,14,4600,103,83,36,102,138,207,324
18,12,0.0011421811166947788,8,13,1778,3793,11,1,0,3535,675,11,3793,32,10,3543,14,32,268,1652,1920,251,926
14,14,0.0012658477583091408,11,15,9741,5321,12,1,0,4135,573,11,5321,89,14,4146,72,89,295,56,351,497,1070
16,17,0.0005358129362636677,7,18,15874,8580,13,1,0,5402,258,11,8580,46,3,5409,144,46,104,865,969,251,509
15,20,0.0011430142134873054,15,21,6623,8956,14,1,0,1086,390,11,8956,39,13,1101,2,39,106,1814,1920,663,1053
11,26,0.0014417346861196547,4,27,16307,11754,2,1,0,917,174,11,11754,95,4,921,6,95,115,37,152,906,1080
12,27,0.0010495096005701688,2,28,17079,12499,2,1,0,3959,93,11,12499,62,4,3961,53,62,66,382,448,987,1080
13,28,0.0008375618592307344,2,29,17332,13132,2,1,0,4232,208,11,13132,50,4,4234,68,50,121,1097,1218,872,1080
7,34,0.0009694270730219904,4,35,11530,16181,4,1,0,62,191,11,16181,53,2,66,2,53,124,1254,1378,889,1080
8,35,0.0011078360877435104,5,36,12379,17074,4,1,0,3364,146,11,17074,67,2,3369,66,67,114,1042,1156,934,1080
9,37,0.0010776119648378624,14,38,15849,17623,4,1,0,5358,418,11,17623,43,3,5372,92,43,197,1723,1920,660,1078
10,38,0.0012923468194213589,7,39,16054,17722,4,1,0,5754,458,11,17722,90,3,5761,96,90,240,1387,1627,622,1080
5,45,0.0012010340513028332,7,46,18532,20700,6,1,0,4551,328,11,20700,57,5,4558,127,57,183,1184,1367,752,1080
6,47,0.0006738089137597402,4,48,18596,22580,7,1,0,5341,280,11,22580,87,5,5345,84,87,163,936,1099,800,1080
3,55,0.0008422227186738522,7,56,2055,31836,9,1,0,3602,597,11,31836,87,10,3609,50,87,236,252,488,483,1080
4,56,0.0012868628792103072,20,57,1778,31863,9,1,0,3523,422,11,31863,25,10,3543,53,25,326,1191,1517,651,1073
19,72,0.0009935158102600619,8,73,72134,36288,10,1,0,2723,419,13,36288,24,9,2731,117,24,192,436,628,661,1080
20,73,0.0012215050217091671,1,74,72185,36314,10,1,0,2747,327,13,36314,22,9,2748,122,22,174,765,939,753,1080
40,77,0.001041383865987065,12,78,41519,39191,12,1,0,313,239,13,39191,37,13,325,6,37,147,162,309,841,1080
41,78,0.0014721686383335026,4,79,41583,39262,12,1,0,428,542,13,39262,68,13,432,7,68,250,78,328,538,1080
45,89,0.0014555276999536752,5,90,46492,41670,13,1,0,728,247,13,41670,22,14,733,12,22,165,1053,1218,833,1080
46,90,0.001302478544321433,6,91,39726,42205,13,1,0,2361,310,13,42205,22,12,2367,56,22,164,1132,1296,770,1080
48,92,0.001157108338600157,5,93,46769,42243,13,1,0,2382,151,13,42243,37,14,2387,57,37,122,1729,1851,929,1080
42,97,0.0009054766157172556,10,98,41519,46365,14,1,0,315,319,13,46365,33,13,325,32,33,157,1763,1920,744,1063
43,101,0.001473911207148249,49,102,40826,47464,14,1,0,4080,397,13,47464,27,12,4129,111,27,181,66,247,552,949
44,102,0.00146298173039774,40,103,55932,47619,14,1,0,4231,447,13,47619,89,3,4271,117,89,213,1198,1411,624,1071
33,107,0.0007552956111846682,1,108,58603,51162,2,1,0,3807,419,13,51162,53,4,3808,100,53,161,1140,1301,661,1080
34,108,0.0007439985419078089,1,109,59057,51388,2,1,0,3958,330,13,51388,59,4,3959,112,59,181,1109,1290,750,1080
35,111,0.0012096428827137909,31,112,56074,51619,2,1,0,4398,224,13,51619,84,3,4429,134,84,216,439,655,850,1074
36,112,0.0011274344980925508,45,113,70199,51830,2,1,0,4492,119,13,51830,58,7,4537,142,58,35,315,350,132,251
38,113,0.0012442129900334742,14,114,44831,52006,2,1,0,5175,470,13,52006,68,13,5189,150,68,168,6,174,610,1080
39,115,0.001203276592202851,19,116,56589,52069,2,1,0,5171,534,13,52069,58,3,5190,153,58,208,340,548,546,1080
28,116,0.0013279330643596677,2,117,39757,53879,3,1,0,2370,150,13,53879,39,12,2372,58,39,41,300,341,152,302
29,126,0.0014313230503994335,5,127,51772,55992,3,1,0,4429,577,13,55992,20,2,4434,121,20,259,617,876,503,1080
30,129,0.0006023706970429308,4,130,49939,57687,4,1,0,1253,206,13,57687,78,2,1257,30,78,136,1224,1360,874,1080
31,130,0.0008056633230010807,5,131,50462,57898,4,1,0,2275,319,13,57898,62,2,2280,50,62,170,662,832,761,1080
32,131,0.001153268979742655,33,132,51279,58602,4,1,0,3871,461,13,58602,67,2,3904,98,67,261,1248,1509,395,856
23,133,0.0012388821862156661,9,134,64415,61472,5,1,0,2466,383,13,61472,34,6,2475,96,34,58,0,58,697,1080
24,141,0.0014811859536377294,6,142,67611,63843,6,1,0,1349,289,13,63843,59,7,1355,63,59,171,711,882,791,1080
25,145,0.0012408002374833214,4,146,69245,65465,6,1,0,3875,218,13,65465,136,7,3879,149,136,177,542,719,857,1075
26,158,0.0013005399300889378,18,159,63120,66743,7,1,0,92,620,13,66743,25,6,110,12,25,261,1191,1452,460,1080
27,167,0.0014105157651956408,14,168,62050,69853,7,1,0,4104,335,13,69853,23,5,4118,169,23,130,1289,1419,274,609
21,174,0.0010120447874031,35,175,34837,71832,9,1,0,598,366,13,71832,76,10,633,16,76,157,0,157,714,1080
22,175,0.0009163482761982203,24,176,34747,71915,9,1,0,588,563,13,71915,74,10,612,17,74,195,578,773,517,1080
50,178,0.0010845751701720355,38,179,95626,77598,10,1,0,584,204,15,77598,28,6,622,8,28,72,579,651,268,472
