camera_dep,camera_ent,day,dep_cam_part_dep,dep_cam_part_ent,dep_frame_dep,dep_frame_ent,ent_cam_part_dep,ent_cam_part_ent,ent_frame_dep,ent_frame_ent,hour,id_dep,id_ent,t_delta,track_dep,track_ent,track_len_dep,track_len_ent,transit
2.0,4.0,13.0,2_5,4_6,5945.0,6000.0,2_0,4_7,5790.0,5948.0,13.0,13_13_2_212,13_13_4_248,0.027027027027027195,212.0,248.0,146.0,53.0,3.0
2.0,4.0,11.0,2_5,4_5,4275.0,4480.0,2_0,4_7,4056.0,4278.0,13.0,11_13_2_143,11_13_4_291,0.027027027027027195,143.0,291.0,209.0,198.0,3.0
2.0,4.0,11.0,2_5,4_6,3505.0,3585.0,2_0,4_7,3359.0,3508.0,11.0,11_11_2_84,11_11_4_82,0.027027027027027195,84.0,82.0,147.0,59.0,3.0
2.0,4.0,11.0,2_5,4_6,3508.0,3620.0,2_0,4_7,3305.0,3511.0,11.0,11_11_2_79,11_11_4_84,0.027027027027027195,79.0,84.0,195.0,102.0,3.0
2.0,4.0,20.0,2_5,4_6,4485.0,4538.0,2_0,4_7,4300.0,4488.0,11.0,20_11_2_119,20_11_4_147,0.027027027027027195,119.0,147.0,166.0,48.0,3.0
2.0,4.0,4.0,2_5,4_6,1543.0,1659.0,2_0,4_7,1446.0,1546.0,11.0,4_11_2_35,4_11_4_40,0.027027027027027195,35.0,40.0,98.0,112.0,3.0
2.0,4.0,18.0,2_5,4_6,1900.0,2064.0,2_0,4_7,1780.0,1903.0,15.0,18_15_2_16,18_15_4_30,0.027027027027027195,16.0,30.0,121.0,103.0,3.0
14.0,13.0,16.0,14_8,13_1,3551.0,3666.0,14_1,13_1,3512.0,3564.0,13.0,16_13_14_14,16_13_13_28,0.02857142857142847,14.0,28.0,40.0,100.0,13.0
14.0,13.0,13.0,14_8,13_1,4506.0,4562.0,14_1,13_1,4478.0,4519.0,13.0,13_13_14_297,13_13_13_396,0.02857142857142847,297.0,396.0,29.0,44.0,13.0
14.0,13.0,9.0,14_8,13_1,1474.0,1565.0,14_1,13_1,1441.0,1487.0,13.0,9_13_14_14,9_13_13_34,0.02857142857142847,14.0,34.0,34.0,68.0,13.0
4.0,3.0,12.0,4_8,3_3,5605.0,5652.0,4_8,3_1,5480.0,5621.0,13.0,12_13_4_364,12_13_3_155,0.07142857142857117,364.0,155.0,110.0,32.0,16.0
4.0,3.0,19.0,4_8,3_0,821.0,901.0,4_6,3_8,733.0,825.0,13.0,19_13_4_61,19_13_3_35,0.07142857142857117,61.0,35.0,85.0,77.0,4.0
4.0,3.0,19.0,4_8,3_0,4357.0,4455.0,4_6,3_8,4270.0,4361.0,17.0,19_17_4_120,19_17_3_172,0.07142857142857117,120.0,172.0,88.0,95.0,4.0
4.0,3.0,9.0,4_8,3_5,3914.0,4079.0,4_6,3_8,3821.0,3918.0,13.0,9_13_4_121,9_13_3_150,0.07142857142857117,121.0,150.0,94.0,162.0,4.0
5.0,6.0,2.0,5_2,6_0,4866.0,4900.0,5_0,6_5,4770.0,4870.0,9.0,2_9_5_51,2_9_6_53,0.08000000000000007,51.0,53.0,96.0,31.0,4.0
