id,day,hour,camera,track,track_len,ent_frame,ent_cam_part,dep_frame,dep_cam_part
1_11_5_46,1,11,5,46,38,4254,5_1,4291,5_7
1_11_5_61,1,11,5,61,40,4556,5_2,4595,5_7
1_11_5_63,1,11,5,63,28,4558,5_2,4585,5_7
1_11_6_107,1,11,6,107,74,4179,6_3,4252,6_8
1_11_6_113,1,11,6,113,54,4199,6_3,4252,6_5
1_11_6_127,1,11,6,127,58,4494,6_0,4551,6_5
1_11_6_128,1,11,6,128,60,4496,6_0,4555,6_8
1_11_7_66,1,11,7,66,35,4253,7_8,4287,7_1
1_11_12_96,1,11,12,96,309,4678,12_7,4986,12_2
1_11_13_132,1,11,13,132,88,4993,13_8,5080,13_0
1_13_2_108,1,13,2,108,129,3809,2_2,3937,2_2
1_13_2_112,1,13,2,112,105,3839,2_0,3958,2_5
1_13_2_123,1,13,2,123,178,3883,2_1,4061,2_0
1_13_2_150,1,13,2,150,177,4976,2_0,5175,2_2
1_13_2_153,1,13,2,153,122,5032,2_0,5171,2_2
1_13_3_104,1,13,3,104,321,3945,3_5,4271,3_0
1_13_3_117,1,13,3,117,34,4271,3_0,4304,3_5
1_13_3_171,1,13,3,171,100,5190,3_4,5299,3_0
1_13_3_172,1,13,3,172,113,5191,3_4,5303,3_0
1_13_4_105,1,13,4,105,26,3853,4_7,3880,4_5
1_13_4_124,1,13,4,124,75,3959,4_7,4033,4_6
1_13_4_135,1,13,4,135,92,4307,4_8,4398,4_8
1_13_5_8,1,13,5,8,29,60,5_7,88,5_2
1_13_5_11,1,13,5,11,32,68,5_6,99,5_2
1_13_5_51,1,13,5,51,42,1347,5_1,1388,5_7
1_13_5_103,1,13,5,103,35,2961,5_7,2995,5_1
1_13_5_104,1,13,5,104,24,2971,5_7,2996,5_2
1_13_6_11,1,13,6,11,39,91,6_8,129,6_3
1_13_6_21,1,13,6,21,70,109,6_4,178,6_3
1_13_6_60,1,13,6,60,64,1280,6_0,1343,6_8
1_13_6_61,1,13,6,61,55,1286,6_0,1340,6_5
1_13_6_63,1,13,6,63,61,1289,6_0,1349,6_5
1_13_6_133,1,13,6,133,63,2999,6_8,3061,6_0
1_13_6_134,1,13,6,134,305,3000,6_5,3328,6_0
1_13_7_55,1,13,7,55,35,1343,7_8,1387,7_1
1_13_7_68,1,13,7,68,45,1355,7_7,1399,7_0
1_13_12_32,1,13,12,32,46,2372,12_1,2417,12_7
1_13_12_33,1,13,12,33,33,2376,12_2,2408,12_7
1_13_12_35,1,13,12,35,47,2384,12_2,2430,12_7
1_13_12_42,1,13,12,42,164,2433,12_0,2629,12_2
1_13_12_49,1,13,12,49,24,2472,12_7,2495,12_5
1_13_12_56,1,13,12,56,32,2714,12_1,2745,12_7
1_13_12_63,1,13,12,63,117,3024,12_2,3165,12_0
1_13_12_115,1,13,12,115,41,4477,12_2,4517,12_7
1_13_12_117,1,13,12,117,33,4479,12_2,4512,12_7
1_13_13_54,1,13,13,54,45,2327,13_1,2371,13_8
