dep_id,dep_frame,dep_cam_part,ent_id,ent_frame,ent_cam_part,transit
1_11_10_8,315,10_5,1_11_9_7,317,9_2,2
1_11_11_14,3535,11_7,1_11_10_44,3536,10_5,1
1_11_12_72,4135,12_1,1_11_14_51,4146,14_8,11
1_11_14_2,1086,14_8,1_11_13_16,1101,13_4,15
1_11_2_6,917,2_2,1_11_4_12,921,4_7,4
1_11_2_53,3960,2_2,1_11_4_71,3961,4_7,1
1_11_2_68,4232,2_5,1_11_4_79,4234,4_7,2
1_11_4_2,62,4_8,1_11_2_2,66,2_1,4
1_11_4_66,3364,4_5,1_11_2_50,3369,2_1,5
1_11_4_92,5358,4_8,1_11_3_126,5372,3_4,14
1_11_4_96,5754,4_8,1_11_3_131,5761,3_8,7
1_11_6_127,4551,6_5,1_11_5_63,4558,5_2,7
1_11_7_84,5341,7_5,1_11_5_72,5345,5_4,4
1_11_9_50,3602,9_1,1_11_10_53,3609,10_5,7
1_11_9_53,3523,9_8,1_11_10_44,3536,10_5,13
1_13_10_117,2723,10_2,1_13_9_60,2731,9_1,8
1_13_10_122,2747,10_5,1_13_9_61,2748,9_2,1
1_13_12_6,313,12_2,1_13_13_3,319,13_5,6
1_13_12_7,428,12_2,1_13_13_10,431,13_5,3
1_13_13_12,728,13_5,1_13_14_52,733,14_8,5
1_13_13_56,2361,13_5,1_13_12_31,2367,12_2,6
1_13_13_57,2382,13_8,1_13_14_72,2387,14_8,5
1_13_14_32,315,14_8,1_13_13_3,319,13_5,4
1_13_14_117,4231,14_8,1_13_3_117,4271,3_0,40
1_13_2_100,3807,2_5,1_13_4_99,3808,4_4,1
1_13_2_112,3958,2_5,1_13_4_124,3959,4_7,1
1_13_2_134,4407,2_2,1_13_3_126,4423,3_4,16
1_13_2_153,5171,2_2,1_13_3_171,5190,3_4,19
1_13_3_121,4429,3_5,1_13_2_142,4434,2_1,5
1_13_4_30,1253,4_8,1_13_2_29,1257,2_1,4
