id,day,hour,camera,track,track_len,ent_frame,ent_cam_part,dep_frame,dep_cam_part
1_9_1_9,1,9,1,9,28,1851,1_6,1878,1_6
1_9_1_10,1,9,1,10,46,1857,1_7,1902,1_6
1_9_1_26,1,9,1,26,127,4872,1_6,4998,1_6
1_9_1_29,1,9,1,29,127,4891,1_6,5017,1_6
1_9_2_3,1,9,2,3,128,276,2_5,403,2_0
1_9_2_5,1,9,2,5,27,376,2_0,402,2_0
1_9_2_7,1,9,2,7,108,401,2_1,510,2_0
1_9_2_9,1,9,2,9,152,455,2_0,606,2_2
1_9_2_27,1,9,2,27,155,3121,2_0,3275,2_2
1_9_2_31,1,9,2,31,278,3253,2_1,3566,2_2
1_9_2_38,1,9,2,38,87,4027,2_8,4113,2_0
1_9_2_39,1,9,2,39,144,4028,2_5,4171,2_0
1_9_2_48,1,9,2,48,112,5880,2_0,5991,2_2
1_9_2_50,1,9,2,50,42,5958,2_0,6000,2_0
1_9_3_1,1,9,3,1,133,1,3_0,133,3_0
1_9_3_3,1,9,3,3,34,21,3_3,54,3_2
1_9_3_16,1,9,3,16,152,876,3_0,1029,3_5
1_9_3_19,1,9,3,19,26,938,3_1,963,3_5
1_9_3_36,1,9,3,36,82,2954,3_0,3037,3_5
1_9_3_38,1,9,3,38,59,2974,3_0,3032,3_0
1_9_3_42,1,9,3,42,38,3265,3_2,3302,3_0
1_9_3_44,1,9,3,44,63,3276,3_8,3339,3_0
1_9_3_45,1,9,3,45,43,3290,3_0,3332,3_3
1_9_3_49,1,9,3,49,71,3314,3_0,3388,3_0
1_9_3_75,1,9,3,75,486,5379,3_0,5889,3_0
1_9_3_82,1,9,3,82,240,5537,3_0,5797,3_5
1_9_3_85,1,9,3,85,24,5572,3_0,5632,3_0
1_9_3_90,1,9,3,90,268,5733,3_0,6000,3_0
1_9_3_101,1,9,3,101,43,5888,3_0,5948,3_0
1_9_3_107,1,9,3,107,73,5926,3_5,5998,3_0
1_9_4_46,1,9,4,46,89,3939,4_6,4027,4_5
1_9_4_48,1,9,4,48,78,3951,4_6,4028,4_5
1_9_5_21,1,9,5,21,26,3041,5_7,3066,5_8
1_9_5_23,1,9,5,23,24,3064,5_7,3087,5_2
1_9_6_7,1,9,6,7,392,2695,6_8,3091,6_0
1_9_6_8,1,9,6,8,44,2708,6_0,2751,6_5
1_9_6_19,1,9,6,19,211,3091,6_8,3301,6_0
1_9_7_1,1,9,7,1,177,295,7_1,489,7_6
1_9_7_3,1,9,7,3,100,385,7_6,484,7_1
1_9_7_6,1,9,7,6,80,486,7_6,565,7_7
1_9_7_8,1,9,7,8,48,494,7_0,541,7_8
1_9_7_33,1,9,7,33,199,2741,7_6,2947,7_8
1_9_7_34,1,9,7,34,30,2753,7_8,2782,7_1
1_9_7_37,1,9,7,37,178,3040,7_1,3227,7_6
1_9_7_38,1,9,7,38,39,3050,7_1,3088,7_8
1_9_7_40,1,9,7,40,169,3317,7_6,3508,7_5
1_9_7_41,1,9,7,41,103,3337,7_1,3440,7_6
1_9_7_49,1,9,7,49,130,4071,7_6,4200,7_1
1_9_7_50,1,9,7,50,136,4071,7_6,4207,7_1
1_9_8_2,1,9,8,2,139,4828,8_1,4966,8_4
1_9_8_4,1,9,8,4,144,4834,8_1,4977,8_4
1_9_8_7,1,9,8,7,321,5425,8_4,5776,8_3
1_9_8_9,1,9,8,9,179,5437,8_4,5615,8_4
1_9_8_20,1,9,8,20,133,5635,8_4,5771,8_3
1_9_9_31,1,9,9,31,89,3087,9_2,3197,9_0
1_9_9_32,1,9,9,32,30,3173,9_2,3202,9_2
1_9_9_39,1,9,9,39,115,3592,9_8,3755,9_7
1_9_9_40,1,9,9,40,137,3594,9_7,3730,9_7
1_9_10_4,1,9,10,4,141,455,10_0,614,10_8
1_9_10_5,1,9,10,5,49,463,10_0,511,10_0
1_9_10_6,1,9,10,6,56,565,10_0,621,10_0
1_9_10_12,1,9,10,12,457,2625,10_0,3081,10_5
1_9_10_14,1,9,10,14,129,2697,10_4,2827,10_0
1_9_10_16,1,9,10,16,32,2938,10_0,2969,10_0
1_9_10_18,1,9,10,18,60,3007,10_0,3066,10_0
1_9_10_19,1,9,10,19,148,3021,10_0,3175,10_8
1_9_10_29,1,9,10,29,130,3195,10_8,3324,10_4
1_9_10_31,1,9,10,31,48,3307,10_0,3365,10_0
1_9_10_37,1,9,10,37,53,4179,10_0,4235,10_0
1_9_10_38,1,9,10,38,44,4185,10_0,4228,10_0
1_9_10_54,1,9,10,54,67,5005,10_0,5071,10_0
1_9_10_56,1,9,10,56,52,5059,10_0,5110,10_0
1_9_10_64,1,9,10,64,143,5731,10_0,5873,10_4
1_9_10_66,1,9,10,66,28,5734,10_0,5761,10_0
1_9_12_5,1,9,12,5,26,875,12_7,900,12_5
1_9_12_6,1,9,12,6,85,878,12_1,974,12_0
1_9_12_19,1,9,12,19,85,2891,12_0,2975,12_2
1_9_12_20,1,9,12,20,24,2954,12_7,2977,12_5
1_9_12_32,1,9,12,32,96,3539,12_0,3634,12_2
1_9_12_33,1,9,12,33,31,3622,12_2,3652,12_7
1_9_12_50,1,9,12,50,247,5119,12_0,5373,12_2
1_9_12_53,1,9,12,53,93,5141,12_0,5292,12_0
1_9_12_66,1,9,12,66,24,5333,12_0,5356,12_3
1_9_12_68,1,9,12,68,222,5424,12_0,5665,12_2
1_9_12_71,1,9,12,71,46,5430,12_8,5475,12_0
1_9_12_72,1,9,12,72,58,5440,12_0,5517,12_1
1_9_13_1,1,9,13,1,129,1,13_1,129,13_1
1_9_13_4,1,9,13,4,34,21,13_0,54,13_0
1_9_13_24,1,9,13,24,135,609,13_0,743,13_1
1_9_13_26,1,9,13,26,235,612,13_0,854,13_0
1_9_13_34,1,9,13,34,292,911,13_5,1202,13_8
1_9_13_36,1,9,13,36,64,959,13_0,1023,13_0
1_9_13_53,1,9,13,53,53,2977,13_8,3029,13_1
1_9_13_56,1,9,13,56,157,2983,13_8,3139,13_5
1_9_13_61,1,9,13,61,120,3264,13_0,3383,13_1
1_9_13_62,1,9,13,62,46,3271,13_0,3316,13_0
1_9_13_96,1,9,13,96,92,5588,13_8,5684,13_8
1_9_13_97,1,9,13,97,50,5617,13_8,5698,13_8
1_9_13_102,1,9,13,102,126,5698,13_5,5827,13_4
1_9_13_108,1,9,13,108,165,5733,13_4,5914,13_8
1_9_13_112,1,9,13,112,238,5741,13_1,5978,13_5
1_9_13_114,1,9,13,114,152,5844,13_4,5995,13_4
1_9_13_117,1,9,13,117,87,5896,13_5,5995,13_4
1_9_14_2,1,9,14,2,128,751,14_6,880,14_8
1_9_14_3,1,9,14,3,33,875,14_1,907,14_8
1_9_15_28,1,9,15,28,37,4878,15_7,4914,15_2
1_9_15_31,1,9,15,31,59,4898,15_7,4956,15_2
1_11_1_5,1,11,1,5,69,821,1_6,889,1_3
1_11_1_7,1,11,1,7,26,839,1_4,864,1_6
1_11_1_9,1,11,1,9,24,869,1_6,892,1_6
1_11_1_11,1,11,1,11,92,1219,1_7,1310,1_6
1_11_1_14,1,11,1,14,27,1306,1_4,1332,1_6
1_11_1_20,1,11,1,20,36,1469,1_2,1504,1_6
1_11_1_21,1,11,1,21,33,1476,1_7,1508,1_3
1_11_1_46,1,11,1,46,65,4578,1_5,4642,1_6
1_11_1_48,1,11,1,48,182,4623,1_2,4804,1_2
1_11_1_49,1,11,1,49,59,4796,1_6,4854,1_5
1_11_1_57,1,11,1,57,42,5433,1_6,5474,1_5
1_11_1_58,1,11,1,58,26,5433,1_6,5463,1_3
1_11_2_11,1,11,2,11,44,1151,2_2,1194,2_5
1_11_2_14,1,11,2,14,25,1169,2_8,1193,2_8
1_11_2_18,1,11,2,18,94,1305,2_0,1399,2_5
1_11_2_20,1,11,2,20,130,1393,2_0,1522,2_8
1_11_2_54,1,11,2,54,629,3978,2_0,4749,2_2
1_11_2_58,1,11,2,58,114,4066,2_0,4190,2_5
1_11_2_67,1,11,2,67,47,4168,2_0,4214,2_8
1_11_2_68,1,11,2,68,51,4182,2_0,4232,2_5
1_11_2_76,1,11,2,76,27,5069,2_2,5095,2_5
1_11_2_78,1,11,2,78,195,5075,2_1,5270,2_0
1_11_3_5,1,11,3,5,114,1031,3_0,1155,3_8
1_11_3_6,1,11,3,6,96,1051,3_0,1146,3_5
1_11_3_21,1,11,3,21,75,2486,3_0,2569,3_0
1_11_3_27,1,11,3,27,90,2558,3_1,2647,3_0
1_11_3_29,1,11,3,29,54,2628,3_0,2681,3_0
1_11_3_41,1,11,3,41,31,3118,3_0,3148,3_0
1_11_3_46,1,11,3,46,150,3146,3_0,3295,3_0
1_11_3_49,1,11,3,49,59,3293,3_0,3360,3_0
1_11_3_50,1,11,3,50,386,3328,3_0,3770,3_0
1_11_3_54,1,11,3,54,120,3447,3_0,3580,3_0
1_11_3_56,1,11,3,56,37,3460,3_0,3496,3_0
1_11_3_64,1,11,3,64,36,3582,3_0,3617,3_0
1_11_3_65,1,11,3,65,69,3660,3_0,3729,3_0
1_11_3_66,1,11,3,66,195,3896,3_0,4133,3_0
1_11_3_70,1,11,3,70,29,4055,3_0,4085,3_0
1_11_3_71,1,11,3,71,60,4058,3_0,4117,3_0
