frame_num,x1,y1,x2,y2,track,hour,camera,w,h,track_length,max_track_len,departure,entrance
4157,1262,178,1330,436,1,11,1,68,258,0,32,0,1
4158,1262,174,1330,431,1,11,1,68,257,1,32,0,0
4159,1279,177,1347,434,1,11,1,68,257,2,32,0,0
4160,1299,180,1369,437,1,11,1,70,257,3,32,0,0
4161,1316,178,1390,451,1,11,1,74,273,4,32,0,0
4162,1333,182,1411,464,1,11,1,78,282,5,32,0,0
4163,1345,186,1429,483,1,11,1,84,297,6,32,0,0
4164,1356,188,1443,494,1,11,1,87,306,7,32,0,0
4165,1365,194,1457,514,1,11,1,92,320,8,32,0,0
4166,1378,198,1473,525,1,11,1,95,327,9,32,0,0
4167,1383,203,1482,543,1,11,1,99,340,10,32,0,0
4168,1383,210,1487,562,1,11,1,104,352,11,32,0,0
4169,1380,212,1490,582,1,11,1,110,370,12,32,0,0
4170,1378,220,1493,608,1,11,1,115,388,13,32,0,0
4171,1372,224,1492,625,1,11,1,120,401,14,32,0,0
4172,1358,231,1487,660,1,11,1,129,429,15,32,0,0
4173,1342,238,1475,679,1,11,1,133,441,16,32,0,0
4174,1324,246,1461,699,1,11,1,137,453,17,32,0,0
4175,1303,265,1450,749,1,11,1,147,484,18,32,0,0
4176,1286,281,1436,769,1,11,1,150,488,19,32,0,0
4177,1260,303,1421,819,1,11,1,161,516,20,32,0,0
4178,1233,324,1400,858,1,11,1,167,534,21,32,0,0
4179,1201,332,1384,911,1,11,1,183,579,22,32,0,0
4180,1173,361,1373,986,1,11,1,200,625,23,32,0,0
4181,1145,379,1357,1036,1,11,1,212,657,24,32,0,0
4182,1118,398,1337,1071,1,11,1,219,673,25,32,0,0
4183,1081,424,1300,1080,1,11,1,219,656,26,32,0,0
4184,1041,450,1263,1080,1,11,1,222,630,27,32,0,0
4185,1005,505,1223,1080,1,11,1,218,575,28,32,0,0
4186,956,558,1169,1080,1,11,1,213,522,29,32,0,0
4187,906,653,1105,1080,1,11,1,199,427,30,32,0,0
4188,821,773,989,1080,1,11,1,168,307,31,32,0,0
4189,793,817,946,1080,1,11,1,153,263,32,32,1,0
4360,1623,145,1658,279,3,11,1,35,134,0,26,0,1
4361,1615,146,1650,279,3,11,1,35,133,1,26,0,0
4362,1605,146,1640,280,3,11,1,35,134,2,26,0,0
4363,1593,145,1630,287,3,11,1,37,142,3,26,0,0
4364,1582,145,1622,294,3,11,1,40,149,4,26,0,0
4365,1572,143,1614,298,3,11,1,42,155,5,26,0,0
4366,1565,144,1607,301,3,11,1,42,157,6,26,0,0
4367,1558,144,1601,301,3,11,1,43,157,7,26,0,0
4368,1549,144,1593,305,3,11,1,44,161,8,26,0,0
4369,1540,147,1586,312,3,11,1,46,165,9,26,0,0
4370,1536,148,1582,312,3,11,1,46,164,10,26,0,0
4371,1529,148,1576,314,3,11,1,47,166,11,26,0,0
4372,1521,150,1570,320,3,11,1,49,170,12,26,0,0
4373,1507,148,1559,325,3,11,1,52,177,13,26,0,0
4374,1494,148,1546,328,3,11,1,52,180,14,26,0,0
4375,1479,150,1531,331,3,11,1,52,181,15,26,0,0
4376,1463,150,1516,333,3,11,1,53,183,16,26,0,0
4377,1447,152,1502,334,3,11,1,55,182,17,26,0,0
4378,1430,155,1485,337,3,11,1,55,182,18,26,0,0
4379,1409,152,1464,339,3,11,1,55,187,19,26,0,0
4380,1392,155,1450,340,3,11,1,58,185,20,26,0,0
4381,1368,152,1426,338,3,11,1,58,186,21,26,0,0
4382,1343,153,1402,337,3,11,1,59,184,22,26,0,0
4383,1327,153,1389,340,3,11,1,62,187,23,26,0,0
