day	hour	camera	track	frame	Tracked
1	11	15	1	27	False
1	11	1	1	27	False
1	11	3	1	27	False
1	11	3	3	27	False
1	11	13	1	27	False
1	11	13	4	27	False
1	11	4	1	51	False
1	11	15	2	175	False
1	11	1	2	175	False
1	11	4	2	178	True
1	11	4	3	201	False
1	11	15	3	1208	False
1	11	10	8	1208	True
1	11	5	9	1208	False
1	11	7	16	1208	False
1	11	1	3	1208	False
1	11	3	22	1208	False
1	11	12	9	1208	False
1	11	14	5	1208	False
1	11	5	10	1214	False
1	11	7	17	1214	False
1	11	4	15	1226	False
1	11	15	4	1243	False
1	11	1	4	1253	False
1	11	15	5	1559	False
1	11	7	19	1559	False
1	11	1	5	1559	False
1	11	4	17	1559	False
1	11	2	14	1559	False
1	11	13	41	1559	False
1	11	2	15	1563	False
1	11	2	16	1566	False
1	11	3	23	1569	False
1	11	3	24	1570	False
1	11	1	6	1596	False
1	11	3	25	1604	False
1	11	15	6	1843	False
1	11	4	25	1843	False
1	11	15	7	1847	False
1	11	1	7	1849	False
1	11	1	8	1850	False
1	11	1	9	1851	False
1	11	15	8	1854	False
1	11	13	49	1856	False
1	11	1	10	1857	False
1	11	2	17	1858	False
1	11	2	18	1859	False
1	11	5	11	1860	False
1	11	2	19	1860	False
1	11	4	26	1866	False
1	11	4	27	1867	False
1	11	4	28	1868	False
1	11	2	20	1869	False
1	11	15	9	1920	False
1	11	7	20	1920	False
1	11	1	11	1920	False
1	11	15	10	1922	False
1	11	9	5	1943	False
1	11	9	6	1949	False
1	11	15	11	2695	False
1	11	10	12	2695	False
1	11	9	27	2695	False
1	11	6	7	2695	False
1	11	1	12	2695	False
1	11	2	24	2695	False
1	11	10	13	2697	False
1	11	10	14	2697	False
1	11	6	8	2708	False
1	11	15	12	2949	False
1	11	10	16	2949	False
1	11	1	13	2949	False
1	11	3	34	2949	False
1	11	12	19	2949	False
1	11	6	12	2951	False
1	11	3	35	2951	False
1	11	6	13	2952	False
1	11	6	14	2953	False
1	11	3	36	2954	False
1	11	12	20	2954	False
1	11	15	13	2957	False
1	11	14	13	2958	False
1	11	3	37	2972	False
1	11	6	15	2973	False
1	11	3	38	2974	False
1	11	12	21	2977	False
1	11	13	53	2977	False
1	11	12	22	2978	False
1	11	12	23	2979	False
1	11	13	54	2981	False
1	11	13	55	2982	False
1	11	13	56	2983	False
1	11	1	14	2985	False
1	11	6	16	2993	False
1	11	15	14	3203	False
1	11	10	29	3203	False
1	11	6	19	3203	False
1	11	7	37	3203	False
1	11	1	15	3203	False
1	11	4	39	3203	False
1	11	2	27	3203	False
1	11	14	19	3203	False
1	11	15	15	3204	False
1	11	6	20	3211	False
1	11	15	16	3225	False
1	11	15	17	3452	False
1	11	7	40	3452	False
1	11	1	16	3452	False
1	11	15	18	3821	False
1	11	9	53	3821	True
1	11	1	17	3821	False
1	11	15	19	3825	False
1	11	1	18	3825	False
1	11	1	19	3830	False
1	11	10	36	3831	False
1	11	15	20	3832	False
1	11	6	25	3841	False
1	11	9	56	3847	False
1	11	1	20	3850	False
1	11	1	21	3850	False
1	11	15	21	3973	False
1	11	4	46	3973	False
1	11	4	48	3973	False
1	11	4	50	3973	False
1	11	15	22	3974	False
1	11	1	22	3974	False
1	11	15	23	3981	False
1	11	15	24	3983	False
1	11	1	23	3983	False
1	11	6	28	3984	False
1	11	4	54	3985	False
1	11	4	55	3986	False
1	11	6	29	3987	False
1	11	4	56	3988	False
1	11	4	57	3990	False
1	11	15	25	4744	False
1	11	10	52	4744	False
1	11	5	37	4744	False
1	11	1	25	4744	False
1	11	3	62	4744	False
1	11	13	83	4744	False
1	11	13	84	4745	False
1	11	7	57	4747	False
1	11	7	58	4749	False
1	11	3	63	4751	False
1	11	3	64	4752	False
1	11	3	65	4753	False
1	11	15	26	4755	False
1	11	15	27	4877	False
1	11	9	79	4877	False
1	11	8	2	4877	False
1	11	8	4	4877	False
1	11	1	26	4877	False
1	11	15	28	4878	False
1	11	1	28	4881	False
1	11	4	68	4881	False
1	11	14	35	4884	False
1	11	14	36	4887	False
1	11	15	29	4890	False
1	11	1	29	4891	False
1	11	15	30	4896	False
1	11	15	31	4898	False
1	11	14	37	4899	False
1	11	6	38	4901	False
1	11	3	67	4909	False
1	11	3	68	4910	False
1	11	13	87	4910	False
1	11	9	80	4911	False
1	11	10	53	4912	False
1	11	9	81	4916	False
1	11	1	30	4920	False
1	11	4	69	4926	False
1	11	4	70	4928	False
1	11	5	41	4940	False
1	11	13	88	4940	False
1	11	5	42	4941	False
1	11	6	39	4942	False
1	11	7	60	4943	False
1	11	7	61	4944	False
1	11	6	40	4945	False
1	11	3	69	4948	False
1	11	7	62	4954	False
1	11	15	32	4956	False
1	11	15	33	4958	False
1	11	5	43	4966	False
1	11	15	34	4969	False
1	11	7	63	4972	False
1	11	6	41	5000	False
1	11	10	54	5005	False
1	11	15	35	5525	False
1	11	8	7	5525	False
1	11	8	9	5525	False
1	11	3	75	5525	False
1	11	12	68	5525	False
1	11	12	74	5525	False
1	11	13	93	5525	False
1	11	1	31	5530	False
1	11	1	32	5531	False
1	11	3	80	5535	False
1	11	3	81	5537	False
1	11	3	82	5537	False
1	11	1	33	5538	False
1	11	3	83	5540	False
1	11	8	12	5544	False
1	11	6	48	5551	False
1	11	8	13	5560	False
1	11	15	36	5671	False
1	11	8	20	5671	False
1	11	1	34	5671	False
1	11	13	96	5671	False
