frame_num,obj_id,camera,x1,y1,x2,y2
142,12_1_1,11,1408,0,1486,141
143,12_1_1,11,1399,0,1488,162
144,12_1_1,11,1399,0,1490,166
145,12_1_1,11,1388,0,1492,189
146,12_1_1,11,1376,0,1490,209
147,12_1_1,11,1369,0,1487,218
148,12_1_1,11,1356,2,1482,235
149,12_1_1,11,1350,4,1485,253
150,12_1_1,11,1347,2,1490,270
151,12_1_1,11,1336,0,1493,296
152,12_1_1,11,1327,1,1492,313
153,12_1_1,11,1324,6,1493,330
154,12_1_1,11,1319,8,1502,365
155,12_1_1,11,1324,8,1511,377
156,12_1_1,11,1317,13,1518,417
157,12_1_1,11,1314,16,1523,444
158,12_1_2,7,2,301,29,501
158,12_1_1,11,1314,23,1525,463
159,12_1_2,7,15,294,43,495
159,12_1_1,11,1318,41,1541,514
160,12_1_2,7,24,297,54,504
160,12_1_1,11,1334,54,1565,553
161,12_1_2,7,21,276,57,509
161,12_1_1,11,1344,59,1590,599
162,12_1_2,7,19,264,59,520
162,12_1_1,11,1352,81,1616,665
163,12_1_2,7,17,264,62,541
163,12_1_1,11,1383,92,1652,700
164,12_1_2,7,15,262,63,547
164,12_1_1,11,1436,112,1703,723
165,12_1_2,7,24,271,76,553
165,12_1_1,11,1487,132,1761,757
166,12_1_2,7,30,277,86,555
166,12_1_1,11,1583,137,1859,775
167,12_1_2,7,31,270,93,562
167,12_1_1,10,743,953,895,1077
167,12_1_1,11,1647,159,1924,812
168,12_1_2,7,29,277,95,569
168,12_1_1,10,658,882,892,1074
168,12_1_1,11,1723,271,1938,785
169,12_1_2,7,26,284,99,592
169,12_1_1,10,555,799,892,1073
169,12_1_1,11,1746,288,1963,808
170,12_1_2,7,30,285,110,608
170,12_1_1,10,494,734,908,1074
171,12_1_2,7,47,289,136,619
171,12_1_1,10,455,678,931,1074
172,12_1_2,7,56,296,150,625
172,12_1_1,10,421,620,949,1071
173,12_1_2,7,57,293,160,638
173,12_1_1,10,404,585,954,1067
174,12_1_2,7,62,303,168,651
174,12_1_1,10,382,551,953,1071
175,12_1_2,7,60,306,175,680
175,12_1_1,10,373,514,963,1073
176,12_1_2,7,75,317,195,693
176,12_1_1,10,385,501,963,1072
177,12_1_2,7,98,328,229,719
177,12_1_1,10,400,479,958,1055
178,12_1_2,7,113,329,252,729
178,12_1_1,10,418,461,937,1025
179,12_1_2,7,115,328,264,756
179,12_1_1,10,429,453,914,1008
180,12_1_2,7,126,333,286,793
180,12_1_1,10,430,446,872,979
181,12_1_2,7,138,341,301,806
181,12_1_1,10,425,427,823,930
182,12_1_2,7,174,344,350,825
182,12_1_1,10,418,422,777,896
183,12_1_2,7,207,354,396,853
183,12_1_1,10,394,409,734,880
184,12_1_2,7,234,357,432,870
184,12_1_1,10,376,397,680,839
185,12_1_2,7,248,373,458,920
185,12_1_1,10,340,392,624,819
186,12_1_2,7,273,390,494,966
186,12_1_1,10,313,387,572,792
187,12_1_2,7,311,397,540,989
187,12_1_1,10,269,376,513,773
188,12_1_2,7,391,416,634,1010
188,12_1_1,10,237,370,472,766
189,12_1_2,7,448,435,700,1037
189,12_1_1,10,209,359,423,738
190,12_1_2,7,490,434,749,1060
190,12_1_1,10,178,350,381,723
191,12_1_2,7,555,460,808,1072
191,12_1_1,10,149,347,346,717
192,12_1_2,7,635,482,878,1071
192,12_1_1,10,109,341,299,713
193,12_1_2,7,741,501,982,1075
193,12_1_1,10,77,338,253,694
